#,Status,Star,Problem,Difficulty,Score,Category,Pattern
239,TODO,FALSE,[Longest Palindromic Substring](https://leetcode.com/problems/longest-palindromic-substring/),Medium,,,
240,TODO,FALSE,[Palindromic Substrings](https://leetcode.com/problems/palindromic-substrings/),Medium,,,
241,REPEAT,TRUE,[Decode Ways](https://leetcode.com/problems/decode-ways/),Medium,0,Dynamic Programming,
242,TODO,FALSE,[Coin Change](https://leetcode.com/problems/coin-change/),Medium,,,
243,TODO,FALSE,[Maximum Product Subarray](https://leetcode.com/problems/maximum-product-subarray/),Medium,,,
244,TODO,FALSE,[Word Break](https://leetcode.com/problems/word-break/),Medium,,,
245,TODO,FALSE,[Longest Increasing Subsequence](https://leetcode.com/problems/longest-increasing-subsequence/),Medium,,,
246,TODO,FALSE,[Partition Equal Subset Sum](https://leetcode.com/problems/partition-equal-subset-sum/),Medium,,,
247,TODO,FALSE,[Triangle](https://leetcode.com/problems/triangle/),Medium,,,
248,TODO,FALSE,[Delete And Earn](https://leetcode.com/problems/delete-and-earn/),Medium,,,
249,TODO,FALSE,[Paint House](https://leetcode.com/problems/paint-house/),Medium,,,
250,TODO,FALSE,[Combination Sum IV](https://leetcode.com/problems/combination-sum-iv/),Medium,,,
251,TODO,FALSE,[Perfect Squares](https://leetcode.com/problems/perfect-squares/),Medium,,,
252,TODO,FALSE,[Maximum Subarray Min Product](https://leetcode.com/problems/maximum-subarray-min-product/),Medium,,,
